long,lat,ASMT_YEAR,TAX_YEAR,PIN_DASH,neighborhood,assess_total_assyr,home_value,wths_wants,assessment_year,situs_addr_city,situs_addr_line_1,situs_addr_line_2,situs_addr_state_legdat,situs_addr_zip_legdat,situs_cmptaddr_direct_legdat,situs_cmptaddr_name_legdat,situs_cmptaddr_number_legdat,situs_cmptaddr_numsuf_legdat,situs_cmptaddr_suffix_legdat
-87.9649433,42.34664133,2020,2019,07-29-404-043,9829450,73641,"$220,923.00",$265.11,2020,GRAYSLAKE,17092 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17092,,CIR
-87.97310779,42.34413549,2020,2019,07-29-406-019,9829450,73006,"$219,018.00",$262.82,2020,GRAYSLAKE,17408 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17408,,DR
-87.97215707,42.34567114,2020,2019,07-29-405-015,9829450,69848,"$209,544.00",$251.45,2020,GRAYSLAKE,17422 W HICKORY LN,,IL,60030,W,HICKORY,17422,,LN
-87.96825542,42.34730199,2020,2019,07-29-404-003,9829450,66183,"$198,549.00",$238.26,2020,GRAYSLAKE,17287 W WOODLAND DR,,IL,60030,W,WOODLAND,17287,,DR
-87.97420883,42.34759598,2020,2019,07-29-313-005,9829450,65555,"$196,665.00",$236.00,2020,GRAYSLAKE,17545 W WOODLAND DR,,IL,60030,W,WOODLAND,17545,,DR
-87.9722736,42.34363023,2020,2019,07-29-407-005,9829450,84512,"$253,536.00",$304.24,2020,GRAYSLAKE,17393 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17393,,DR
-87.9699842,42.34302944,2020,2019,07-29-408-009,9829450,84556,"$253,668.00",$304.40,2020,GRAYSLAKE,33057 N SHANNON DR,,IL,60030,N,SHANNON,33057,,DR
-87.96998204,42.34379215,2020,2019,07-29-408-006,9829440,95583,"$286,749.00",$344.10,2020,GRAYSLAKE,33113 N SHANNON DR,,IL,60030,N,SHANNON,33113,,DR
-87.96880738,42.34267848,2020,2019,07-29-404-037,9829440,78002,"$234,006.00",$280.81,2020,GRAYSLAKE,33035 N ASHLEY DR,,IL,60030,N,ASHLEY,33035,,DR
-87.97255079,42.34864346,2020,2019,07-29-402-004,9829440,82209,"$246,627.00",$295.95,2020,GRAYSLAKE,17451 W WINDSLOW DR,,IL,60030,W,WINDSLOW,17451,,DR
-87.96481785,42.34635226,2020,2019,07-29-404-056,9829440,76489,"$229,467.00",$275.36,2020,GRAYSLAKE,17581 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17581,,CIR
-87.96663996,42.34699412,2020,2019,07-29-404-009,9829440,76265,"$228,795.00",$274.55,2020,GRAYSLAKE,17201 W WOODLAND DR,,IL,60030,W,WOODLAND,17201,,DR
-87.97565449,42.34924465,2020,2019,07-29-309-007,9829440,76040,"$228,120.00",$273.74,2020,GRAYSLAKE,17604 W WINDSLOW DR,,IL,60030,W,WINDSLOW,17604,,DR
-87.96884722,42.34153869,2020,2019,07-32-201-013,9829440,73443,"$220,329.00",$264.39,2020,GRAYSLAKE,32955 N ASHLEY DR,,IL,60030,N,ASHLEY,32955,,DR
-87.96949304,42.34328854,2020,2019,07-29-408-017,9829440,74244,"$222,732.00",$267.28,2020,GRAYSLAKE,33076 N ASHLEY DR,,IL,60030,N,ASHLEY,33076,,DR
-87.97401692,42.34456851,2020,2019,07-29-315-002,9829440,74005,"$222,015.00",$266.42,2020,GRAYSLAKE,17533 W HICKORY LN,,IL,60030,W,HICKORY,17533,,LN
-87.97283404,42.34819798,2020,2019,07-29-402-008,9829440,73049,"$219,147.00",$262.98,2020,GRAYSLAKE,17466 W WOODLAND DR,,IL,60030,W,WOODLAND,17466,,DR
-87.97337653,42.34759309,2020,2019,07-29-403-001,9829440,76278,"$228,834.00",$274.60,2020,GRAYSLAKE,17505 W WOODLAND DR,,IL,60030,W,WOODLAND,17505,,DR
-87.97282166,42.34759116,2020,2019,07-29-403-003,9829440,70205,"$210,615.00",$252.74,2020,GRAYSLAKE,17465 W WOODLAND DR,,IL,60030,W,WOODLAND,17465,,DR
-87.97052107,42.34757339,2020,2019,07-29-403-011,9829440,95624,"$286,872.00",$344.25,2020,GRAYSLAKE,17385 W WOODLAND DR,,IL,60030,W,WOODLAND,17385,,DR
-87.97393139,42.34759502,2020,2019,07-29-313-006,9829440,93485,"$280,455.00",$336.55,2020,GRAYSLAKE,17535 W WOODLAND DR,,IL,60030,W,WOODLAND,17535,,DR
-87.97340351,42.34457182,2020,2019,07-29-406-003,9829440,88909,"$266,727.00",$320.07,2020,GRAYSLAKE,17495 W HICKORY LN,,IL,60030,W,HICKORY,17495,,LN
-87.9661658,42.34786897,2020,2019,07-29-401-027,9829440,87516,"$262,548.00",$315.06,2020,GRAYSLAKE,17170 W WOODLAND DR,,IL,60030,W,WOODLAND,17170,,DR
-87.96935623,42.34751485,2020,2019,07-29-403-015,9829440,86137,"$258,411.00",$310.09,2020,GRAYSLAKE,17341 W WOODLAND DR,,IL,60030,W,WOODLAND,17341,,DR
-87.96976872,42.34176486,2020,2019,07-32-201-005,9829440,84682,"$254,046.00",$304.86,2020,GRAYSLAKE,32970 N ASHLEY DR,,IL,60030,N,ASHLEY,32970,,DR
-87.96546599,42.34679631,2020,2019,07-29-404-013,9829440,82995,"$248,985.00",$298.78,2020,GRAYSLAKE,17125 W WOODLAND DR,,IL,60030,W,WOODLAND,17125,,DR
-87.96411205,42.34578847,2020,2019,07-29-404-063,9829440,82824,"$248,472.00",$298.17,2020,GRAYSLAKE,17141 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17141,,CIR
-87.96884468,42.3470528,2020,2019,07-29-404-019,9829440,82494,"$247,482.00",$296.98,2020,GRAYSLAKE,17253 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17253,,DR
-87.96480434,42.34580615,2020,2019,07-29-409-010,9829440,82462,"$247,386.00",$296.86,2020,GRAYSLAKE,17582 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17582,,CIR
-87.97226679,42.34758923,2020,2019,07-29-403-005,9829440,76132,"$228,396.00",$274.08,2020,GRAYSLAKE,17435 W WOODLAND DR,,IL,60030,W,WOODLAND,17435,,DR
-87.96779471,42.34786004,2020,2019,07-29-401-023,9829440,85598,"$256,794.00",$308.15,2020,GRAYSLAKE,17250 W WOODLAND DR,,IL,60030,W,WOODLAND,17250,,DR
-87.96753855,42.3448345,2020,2019,07-29-404-067,9829440,79201,"$237,603.00",$285.12,2020,GRAYSLAKE,17341 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17341,,CIR
-87.97083274,42.34419939,2020,2019,07-29-407-011,9829440,79178,"$237,534.00",$285.04,2020,GRAYSLAKE,33146 N SHANNON DR,,IL,60030,N,SHANNON,33146,,DR
-87.97159832,42.34468982,2020,2019,07-29-406-025,9829440,78944,"$236,832.00",$284.20,2020,GRAYSLAKE,17354 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17354,,DR
-87.96948913,42.34456205,2020,2019,07-29-408-012,9829440,78891,"$236,673.00",$284.01,2020,GRAYSLAKE,33166 N ASHLEY DR,,IL,60030,N,ASHLEY,33166,,DR
-87.97281009,42.34412878,2020,2019,07-29-406-020,9829440,78807,"$236,421.00",$283.71,2020,GRAYSLAKE,17394 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17394,,DR
-87.96571712,42.34581309,2020,2019,07-29-409-007,9829440,78614,"$235,842.00",$283.01,2020,GRAYSLAKE,17530 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17530,,CIR
-87.9698401,42.34496956,2020,2019,07-29-408-002,9829440,77526,"$232,578.00",$279.09,2020,GRAYSLAKE,33200 N ASHLEY DR,,IL,60030,N,ASHLEY,33200,,DR
-87.96877996,42.34459181,2020,2019,07-29-404-030,9829440,77471,"$232,413.00",$278.90,2020,GRAYSLAKE,33163 N ASHLEY DR,,IL,60030,N,ASHLEY,33163,,DR
-87.96641571,42.34482275,2020,2019,07-29-404-071,9829440,81902,"$245,706.00",$294.85,2020,GRAYSLAKE,17285 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17285,,CIR
-87.96879151,42.34323209,2020,2019,07-29-404-035,9829440,75994,"$227,982.00",$273.58,2020,GRAYSLAKE,33073 N ASHLEY DR,,IL,60030,N,ASHLEY,33073,,DR
-87.96744741,42.34714866,2020,2019,07-29-404-006,9829440,75940,"$227,820.00",$273.38,2020,GRAYSLAKE,17251 W WOODLAND DR,,IL,60030,W,WOODLAND,17251,,DR
-87.97679064,42.34761852,2020,2019,07-29-312-005,9829440,75694,"$227,082.00",$272.50,2020,GRAYSLAKE,17657 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17657,,DR
-87.97225985,42.34614413,2020,2019,07-29-405-005,9829440,75524,"$226,572.00",$271.89,2020,GRAYSLAKE,17449 W BLUFF DR,,IL,60030,W,BLUFF,17449,,DR
-87.97284249,42.34532358,2020,2019,07-29-405-012,9829440,74411,"$223,233.00",$267.88,2020,GRAYSLAKE,17458 W HICKORY LN,,IL,60030,W,HICKORY,17458,,LN
-87.97090942,42.34504161,2020,2019,07-29-406-028,9829440,74401,"$223,203.00",$267.84,2020,GRAYSLAKE,17330 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17330,,DR
-87.97205801,42.34445676,2020,2019,07-29-406-023,9829440,74065,"$222,195.00",$266.63,2020,GRAYSLAKE,17370 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17370,,DR
-87.96631142,42.34581594,2020,2019,07-29-409-005,9829440,73895,"$221,685.00",$266.02,2020,GRAYSLAKE,17502 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17502,,CIR
-87.96852507,42.34735544,2020,2019,07-29-404-002,9829440,73764,"$221,292.00",$265.55,2020,GRAYSLAKE,17301 W WOODLAND DR,,IL,60030,W,WOODLAND,17301,,DR
-87.96998236,42.34354354,2020,2019,07-29-408-007,9829440,73152,"$219,456.00",$263.35,2020,GRAYSLAKE,33093 N SHANNON DR,,IL,60030,N,SHANNON,33093,,DR
-87.96873329,42.34801307,2020,2019,07-29-401-020,9829440,72692,"$218,076.00",$261.69,2020,GRAYSLAKE,17300 W WOODLAND DR,,IL,60030,W,WOODLAND,17300,,DR
-87.96808599,42.34788696,2020,2019,07-29-401-022,9829440,71437,"$214,311.00",$257.17,2020,GRAYSLAKE,17260 W WOODLAND DR,,IL,60030,W,WOODLAND,17260,,DR
-87.96964023,42.34597635,2020,2019,07-29-406-034,9829440,71698,"$215,094.00",$258.11,2020,GRAYSLAKE,17282 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17282,,DR
-87.96408996,42.34536398,2020,2019,07-29-404-065,9829440,77832,"$233,496.00",$280.20,2020,GRAYSLAKE,17169 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17169,,CIR
-87.96743016,42.34655503,2020,2019,07-29-404-047,9829460,104293,"$312,879.00",$375.45,2020,GRAYSLAKE,17445 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17445,,CIR
-87.96951655,42.3427107,2020,2019,07-29-408-019,9829460,109373,"$328,119.00",$393.74,2020,GRAYSLAKE,33034 N ASHLEY DR,,IL,60030,N,ASHLEY,33034,,DR
-87.97080891,42.34818727,2020,2019,07-29-401-015,9829460,103501,"$310,503.00",$372.60,2020,GRAYSLAKE,17380 W WOODLAND DR,,IL,60030,W,WOODLAND,17380,,DR
-87.96751391,42.34542696,2020,2019,07-29-409-011,9829460,99626,"$298,878.00",$358.65,2020,GRAYSLAKE,17330 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17330,,CIR
-87.96883742,42.34095162,2020,2019,07-32-201-015,9829460,98215,"$294,645.00",$353.57,2020,GRAYSLAKE,32929 N ASHLEY DR,,IL,60030,N,ASHLEY,32929,,DR
-87.97070735,42.34396239,2020,2019,07-29-407-012,9829460,98623,"$295,869.00",$355.04,2020,GRAYSLAKE,33124 N SHANNON DR,,IL,60030,N,SHANNON,33124,,DR
-87.96661113,42.34540894,2020,2019,07-29-409-014,9829460,103203,"$309,609.00",$371.53,2020,GRAYSLAKE,17294 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17294,,CIR
-87.97374864,42.34355237,2020,2019,07-29-312-029,9829460,102817,"$308,451.00",$370.14,2020,GRAYSLAKE,17423 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17423,,DR
-87.96977079,42.34155838,2020,2019,07-32-201-006,9829460,96232,"$288,696.00",$346.44,2020,GRAYSLAKE,32956 N ASHLEY DR,,IL,60030,N,ASHLEY,32956,,DR
-87.96997383,42.34405417,2020,2019,07-29-408-005,9829460,100871,"$302,613.00",$363.14,2020,GRAYSLAKE,33127 N SHANNON DR,,IL,60030,N,SHANNON,33127,,DR
-87.96665132,42.3464774,2020,2019,07-29-404-050,9829460,96901,"$290,703.00",$348.84,2020,GRAYSLAKE,17487 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17487,,CIR
-87.9688331,42.34577697,2020,2019,07-29-404-025,9829460,96676,"$290,028.00",$348.03,2020,GRAYSLAKE,17289 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17289,,DR
-87.96824107,42.34568862,2020,2019,07-29-404-058,9829460,95708,"$287,124.00",$344.55,2020,GRAYSLAKE,17395 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17395,,CIR
-87.96880489,42.34490211,2020,2019,07-29-404-029,9829460,95650,"$286,950.00",$344.34,2020,GRAYSLAKE,33179 N ASHLEY DR,,IL,60030,N,ASHLEY,33179,,DR
-87.96882488,42.34550647,2020,2019,07-29-404-026,9829460,95283,"$285,849.00",$343.02,2020,GRAYSLAKE,17297 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17297,,DR
-87.97340877,42.34413205,2020,2019,07-29-406-018,9829460,95089,"$285,267.00",$342.32,2020,GRAYSLAKE,17424 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17424,,DR
-87.96989872,42.34094021,2020,2019,07-32-201-008,9829460,98826,"$296,478.00",$355.77,2020,GRAYSLAKE,32928 N ASHLEY DR,,IL,60030,N,ASHLEY,32928,,DR
-87.97265832,42.3435522,2020,2019,07-29-407-004,9829460,94712,"$284,136.00",$340.96,2020,GRAYSLAKE,17401 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17401,,DR
-87.97150986,42.34400375,2020,2019,07-29-407-008,9829460,94681,"$284,043.00",$340.85,2020,GRAYSLAKE,17369 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17369,,DR
-87.96916046,42.34529496,2020,2019,07-29-404-027,9829460,93938,"$281,814.00",$338.18,2020,GRAYSLAKE,33205 N ASHLEY DR,,IL,60030,N,ASHLEY,33205,,DR
-87.97412614,42.34418052,2020,2019,07-29-315-004,9829460,93235,"$279,705.00",$335.65,2020,GRAYSLAKE,17464 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17464,,DR
-87.96541931,42.34581121,2020,2019,07-29-409-008,9829460,93169,"$279,507.00",$335.41,2020,GRAYSLAKE,17554 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17554,,CIR
-87.97513149,42.34760822,2020,2019,07-29-313-002,9829460,86920,"$260,760.00",$312.91,2020,GRAYSLAKE,17577 W WOODLAND DR,,IL,60030,W,WOODLAND,17577,,DR
-87.96691444,42.34650309,2020,2019,07-29-404-049,9829460,92895,"$278,685.00",$334.42,2020,GRAYSLAKE,17473 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17473,,CIR
-87.97123966,42.34540766,2020,2019,07-29-406-011,9829460,91763,"$275,289.00",$330.35,2020,GRAYSLAKE,17391 W HICKORY LN,,IL,60030,W,HICKORY,17391,,LN
-87.97128291,42.34411994,2020,2019,07-29-407-009,9829460,96266,"$288,798.00",$346.56,2020,GRAYSLAKE,17361 W DARTMOOR DR,,IL,60030,W,DARTMOOR,17361,,DR
-87.96952303,42.34816954,2020,2019,07-29-401-018,9829460,91122,"$273,366.00",$328.04,2020,GRAYSLAKE,17350 W WOODLAND DR,,IL,60030,W,WOODLAND,17350,,DR
-87.96631602,42.34540727,2020,2019,07-29-409-015,9829460,91086,"$273,258.00",$327.91,2020,GRAYSLAKE,17280 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17280,,CIR
-87.9694963,42.34302437,2020,2019,07-29-408-018,9829460,95544,"$286,632.00",$343.96,2020,GRAYSLAKE,33058 N ASHLEY DR,,IL,60030,N,ASHLEY,33058,,DR
-87.96411,42.34620021,2020,2019,07-29-404-061,9829460,90346,"$271,038.00",$325.25,2020,GRAYSLAKE,17123 W HUNTINGTON CIR,,IL,60030,W,HUNTINGTON,17123,,CIR
-87.96884732,42.34175272,2020,2019,07-32-201-012,9829460,87601,"$262,803.00",$315.36,2020,GRAYSLAKE,32971 N ASHLEY DR,,IL,60030,N,ASHLEY,32971,,DR
-87.96879166,42.34295854,2020,2019,07-29-404-036,9829460,88275,"$264,825.00",$317.79,2020,GRAYSLAKE,33057 N ASHLEY DR,,IL,60030,N,ASHLEY,33057,,DR
